Gaunt[{l1, m1}, {l2, m2}, {l3, m3}] == 
Gaunt[{1, 0}, {2, 1}, {1, -1}] == -0.21851
Gaunt[{1, 0}, {2, 1}, {3, -1}] == -0.233597
Gaunt[{1, 0}, {2, 2}, {3, -2}] == 0.184674
Gaunt[{1, 0}, {3, -3}, {4, 3}] == -0.162868
Gaunt[{1, 0}, {3, -2}, {2, 2}] == 0.184674
Gaunt[{1, 0}, {3, -2}, {4, 2}] == 0.213244
Gaunt[{1, 0}, {3, -1}, {2, 1}] == -0.233597
Gaunt[{1, 0}, {3, -1}, {4, 1}] == -0.238414
Gaunt[{1, 0}, {3, 0}, {2, 0}] == 0.247767
Gaunt[{1, 0}, {3, 0}, {4, 0}] == 0.246233
Gaunt[{1, 0}, {3, 1}, {2, -1}] == -0.233597
Gaunt[{1, 0}, {3, 1}, {4, -1}] == -0.238414
Gaunt[{1, 0}, {3, 2}, {2, -2}] == 0.184674
Gaunt[{1, 0}, {3, 2}, {4, -2}] == 0.213244
Gaunt[{1, 0}, {3, 3}, {4, -3}] == -0.162868
Gaunt[{1, 0}, {4, -4}, {5, 4}] == 0.147319
Gaunt[{1, 0}, {4, -3}, {3, 3}] == -0.162868
Gaunt[{1, 0}, {4, -3}, {5, 3}] == -0.196426
Gaunt[{1, 0}, {4, -2}, {3, 2}] == 0.213244
Gaunt[{1, 0}, {4, -2}, {5, 2}] == 0.225034
Gaunt[{1, 0}, {4, -1}, {3, 1}] == -0.238414
Gaunt[{1, 0}, {4, -1}, {5, 1}] == -0.240571
Gaunt[{1, 0}, {4, 0}, {3, 0}] == 0.246233
Gaunt[{1, 0}, {4, 0}, {5, 0}] == 0.245532
Gaunt[{1, 0}, {4, 1}, {3, -1}] == -0.238414
Gaunt[{1, 0}, {4, 1}, {5, -1}] == -0.240571
Gaunt[{1, 0}, {4, 2}, {3, -2}] == 0.213244
Gaunt[{1, 0}, {4, 2}, {5, -2}] == 0.225034
Gaunt[{1, 0}, {4, 3}, {3, -3}] == -0.162868
Gaunt[{1, 0}, {4, 3}, {5, -3}] == -0.196426
Gaunt[{1, 0}, {4, 4}, {5, -4}] == 0.147319
Gaunt[{1, 0}, {5, -5}, {6, 5}] == -0.135514
Gaunt[{1, 0}, {5, -4}, {4, 4}] == 0.147319
Gaunt[{1, 0}, {5, -4}, {6, 4}] == 0.182727
Gaunt[{1, 0}, {5, -3}, {4, 3}] == -0.196426
Gaunt[{1, 0}, {5, -3}, {6, 3}] == -0.21231
Gaunt[{1, 0}, {5, -2}, {4, 2}] == 0.225034
Gaunt[{1, 0}, {5, -2}, {6, 2}] == 0.231133
Gaunt[{1, 0}, {5, -1}, {4, 1}] == -0.240571
Gaunt[{1, 0}, {5, -1}, {6, 1}] == -0.241725
Gaunt[{1, 0}, {5, 0}, {4, 0}] == 0.245532
Gaunt[{1, 0}, {5, 0}, {6, 0}] == 0.245154
Gaunt[{1, 0}, {5, 1}, {4, -1}] == -0.240571
Gaunt[{1, 0}, {5, 1}, {6, -1}] == -0.241725
Gaunt[{1, 0}, {5, 2}, {4, -2}] == 0.225034
Gaunt[{1, 0}, {5, 2}, {6, -2}] == 0.231133
Gaunt[{1, 0}, {5, 3}, {4, -3}] == -0.196426
Gaunt[{1, 0}, {5, 3}, {6, -3}] == -0.21231
Gaunt[{1, 0}, {5, 4}, {4, -4}] == 0.147319
Gaunt[{1, 0}, {5, 4}, {6, -4}] == 0.182727
Gaunt[{1, 0}, {5, 5}, {6, -5}] == -0.135514
Gaunt[{1, 0}, {6, -6}, {7, 6}] == 0.126157
Gaunt[{1, 0}, {6, -5}, {5, 5}] == -0.135514
Gaunt[{1, 0}, {6, -5}, {7, 5}] == -0.171413
Gaunt[{1, 0}, {6, -4}, {5, 4}] == 0.182727
Gaunt[{1, 0}, {6, -4}, {7, 4}] == 0.201
Gaunt[{1, 0}, {6, -3}, {5, 3}] == -0.21231
Gaunt[{1, 0}, {6, -3}, {7, 3}] == -0.221293
Gaunt[{1, 0}, {6, -2}, {5, 2}] == 0.231133
Gaunt[{1, 0}, {6, -2}, {7, 2}] == 0.234717
Gaunt[{1, 0}, {6, -1}, {5, 1}] == -0.241725
Gaunt[{1, 0}, {6, -1}, {7, 1}] == -0.242415
Gaunt[{1, 0}, {6, 0}, {5, 0}] == 0.245154
Gaunt[{1, 0}, {6, 0}, {7, 0}] == 0.244927
Gaunt[{1, 0}, {6, 1}, {5, -1}] == -0.241725
Gaunt[{1, 0}, {6, 1}, {7, -1}] == -0.242415
Gaunt[{1, 0}, {6, 2}, {5, -2}] == 0.231133
Gaunt[{1, 0}, {6, 2}, {7, -2}] == 0.234717
Gaunt[{1, 0}, {6, 3}, {5, -3}] == -0.21231
Gaunt[{1, 0}, {6, 3}, {7, -3}] == -0.221293
Gaunt[{1, 0}, {6, 4}, {5, -4}] == 0.182727
Gaunt[{1, 0}, {6, 4}, {7, -4}] == 0.201
Gaunt[{1, 0}, {6, 5}, {5, -5}] == -0.135514
Gaunt[{1, 0}, {6, 5}, {7, -5}] == -0.171413
Gaunt[{1, 0}, {6, 6}, {7, -6}] == 0.126157
Gaunt[{1, 0}, {7, -7}, {8, 7}] == -0.118504
Gaunt[{1, 0}, {7, -6}, {6, 6}] == 0.126157
Gaunt[{1, 0}, {7, -6}, {8, 6}] == 0.161907
Gaunt[{1, 0}, {7, -5}, {6, 5}] == -0.171413
Gaunt[{1, 0}, {7, -5}, {8, 5}] == -0.191081
Gaunt[{1, 0}, {7, -4}, {6, 4}] == 0.201
Gaunt[{1, 0}, {7, -4}, {8, 4}] ==
 0.211986
Gaunt[{1, 0}, {7, -3}, {6, 3}] == -0.221293
Gaunt[{1, 0}, {7, -3}, {8, 3}] == -0.226917
Gaunt[{1, 0}, {7, -2}, {6, 2}] == 0.234717
Gaunt[{1, 0}, {7, -2}, {8, 2}] == 0.237007
Gaunt[{1, 0}, {7, -1}, {6, 1}] == -0.242415
Gaunt[{1, 0}, {7, -1}, {8, 1}] == -0.24286
